Id,Año,Mes,Día,Rango de hora,Sexo,Rango de edad,Lugar,Provincia
73,2011,Abril,Sábado,12:00-17:59,Hombre,0-4,Pozo,San Cristóbal
74,2011,Abril,Sábado,12:00-17:59,Hombre,15-19,Río,Puerto Plata
75,2011,Abril,Sábado,18:00-23:59,Hombre,50-54,Río,La Altagracia
76,2011,Abril,Domingo,18:00-23:59,Hombre,25-29,Canal,Santiago
77,2011,Abril,Domingo,18:00-23:59,Hombre,25-29,Piscina,Espaillat
78,2011,Abril,Lunes,12:00-17:59,Hombre,20-24,Río,Santo Domingo
79,2011,Abril,Martes,12:00-17:59,Mujer,0-4,Cubeta,Santo Domingo
80,2011,Abril,Martes,18:00-23:59,Hombre,35-39,Mar,San Cristóbal
81,2011,Abril,Miércoles, 6:00-11:59,Hombre,14-Oct,Canal,Azua
82,2011,Abril,Jueves,12:00-17:59,Hombre,40-44,Otros,Bahoruco
83,2011,Abril,Viernes,12:00-17:59,Hombre,20-24,Mar,Samaná
84,2011,Abril,Viernes,12:00-17:59,Hombre,14-Oct,Otros,La Altagracia
85,2011,Abril,Sábado,18:00-23:59,Hombre,15-19,Río,Monte Plata
86,2011,Abril,Domingo,12:00-17:59,Hombre,N/D,Otros,Sánchez Ramírez
87,2011,Abril,Domingo,18:00-23:59,Hombre,14-Oct,Río,Monte Plata
88,2011,Abril,Lunes,12:00-17:59,Hombre,75-79,Mar,La Romana
89,2011,Abril,Jueves, 6:00-11:59,Hombre,14-Oct,Mar,María Trinidad Sánchez
90,2011,Abril,Jueves, 6:00-11:59,Hombre,N/D,Río,Santo Domingo
91,2011,Abril,Viernes,12:00-17:59,Hombre,15-19,Pozo,Monseñor Nouel
92,2011,Abril,Viernes,18:00-23:59,Hombre,15-19,Río,Santiago
93,2011,Abril,Domingo,18:00-23:59,Hombre,75-79,Canal,Santiago
94,2011,Abril,Jueves, 6:00-11:59,Hombre,N/D,Canal,Santiago
95,2011,Abril,Jueves,12:00-17:59,Hombre,9-May,Canal,Azua
96,2011,Abril,Jueves,18:00-23:59,Hombre,0-4,Piscina,Samaná
97,2011,Abril,Viernes,18:00-23:59,Hombre,14-Oct,Pozo,Distrito Nacional
98,2011,Abril,Sábado,12:00-17:59,Hombre,20-24,Río,La Vega
99,2011,Abril,Sábado,12:00-17:59,Hombre,20-24,Mar,Puerto Plata
100,2011,Abril,Sábado,12:00-17:59,Hombre,9-May,Río,Sánchez Ramírez
101,2011,Abril,Domingo, 6:00-11:59,Hombre,20-24,Río,Santo Domingo
102,2011,Abril,Domingo,12:00-17:59,Mujer,9-May,Río,Peravia
103,2011,Abril,Domingo,18:00-23:59,Hombre,15-19,Río,San Juan
104,2011,Abril,Martes,12:00-17:59,Hombre,35-39,Río,Distrito Nacional
105,2011,Abril,Martes,12:00-17:59,Hombre,14-Oct,Piscina,Peravia
106,2011,Abril,Martes,12:00-17:59,Hombre,0-4,Cisterna,Santo Domingo
107,2011,Abril,Martes,12:00-17:59,Hombre,0-4,Cubeta,Santo Domingo
108,2011,Mayo,Domingo, 6:00-11:59,Hombre,9-May,Canal,Santiago
109,2011,Mayo,Domingo,12:00-17:59,Hombre,14-Oct,Mar,Peravia
110,2011,Mayo,Domingo,12:00-17:59,Hombre,20-24,Río,Santiago
111,2011,Mayo,Domingo,12:00-17:59,Mujer,14-Oct,Río,Sánchez Ramírez
112,2011,Mayo,Domingo,12:00-17:59,Hombre,15-19,Río,Sánchez Ramírez
113,2011,Mayo,Domingo,12:00-17:59,Hombre,40-44,Mar,San Cristóbal
114,2011,Mayo,Domingo,18:00-23:59,Hombre,20-24,Mar,Puerto Plata
115,2011,Mayo,Lunes, 6:00-11:59,Mujer,9-May,Otros,Distrito Nacional
116,2011,Mayo,Miércoles,12:00-17:59,Hombre,9-May,Canal,Santiago
117,2011,Mayo,Viernes,18:00-23:59,Hombre,40-44,Otros,San Juan
118,2011,Mayo,Sábado,12:00-17:59,Hombre,14-Oct,Piscina,Santo Domingo
119,2011,Mayo,Lunes, 6:00-11:59,Hombre,35-39,Canal,Santiago
120,2011,Mayo,Jueves,18:00-23:59,Hombre,50-54,Mar,Samaná
121,2011,Mayo,Domingo,12:00-17:59,Mujer,9-May,Cisterna,Santiago
122,2011,Mayo,Domingo,18:00-23:59,Hombre,15-19,Mar,Puerto Plata
123,2011,Mayo,Lunes,18:00-23:59,Mujer,0-4,Río,La Altagracia
124,2011,Mayo,Jueves,18:00-23:59,Mujer,20-24,Río,San Pedro de Macorís
125,2011,Mayo,Viernes,12:00-17:59,Mujer,9-May,Río,Santo Domingo
126,2011,Mayo,Miércoles, 6:00-11:59,Hombre,60-64,Otros,La Romana
127,2011,Mayo,Jueves, 6:00-11:59,Hombre,20-24,Mar,María Trinidad Sánchez
128,2011,Mayo,Jueves, 6:00-11:59,Mujer,50-54,Río,San Juan
129,2011,Mayo,Jueves,18:00-23:59,Hombre,0-4,Otros,Monte Plata
130,2011,Mayo,Sábado,18:00-23:59,Mujer,0-4,Cisterna,San Pedro de Macorís
131,2011,Mayo,Domingo,18:00-23:59,Hombre,45-49,Canal,Duarte
132,2011,Mayo,Martes,18:00-23:59,Hombre,14-Oct,Mar,Santo Domingo
133,2011,Junio,Domingo, 6:00-11:59,Hombre,14-Oct,Río,Santo Domingo
134,2011,Junio,Lunes,18:00-23:59,Hombre,40-44,Río,El Seybo
135,2011,Junio,Martes,12:00-17:59,Hombre,30-34,Canal,Monte Cristi
136,2011,Junio,Miércoles,12:00-17:59,Hombre,N/D,Río,Santiago
137,2011,Junio,Jueves,18:00-23:59,Hombre,9-May,Otros,Santiago
138,2011,Junio,Viernes,12:00-17:59,Hombre,25-29,Mar,La Altagracia
139,2011,Junio,Viernes,12:00-17:59,Hombre,15-19,Mar,San Pedro de Macorís
140,2011,Junio,Domingo,18:00-23:59,Hombre,30-34,Otros,Barahona
141,2011,Junio,Lunes,12:00-17:59,Hombre,N/D,Río,Santo Domingo
142,2011,Junio,Martes,12:00-17:59,Hombre,0-4,Cisterna,Samaná
143,2011,Junio,Miércoles,0:00-05:59,Mujer,35-39,Río,Elías Pina
144,2011,Junio,Jueves,12:00-17:59,Hombre,40-44,Canal,Duarte
145,2011,Junio,Domingo,12:00-17:59,Hombre,65-69,Río,El Seybo
146,2011,Junio,Domingo,12:00-17:59,Hombre,15-19,Mar,Puerto Plata
147,2011,Junio,Miércoles, 6:00-11:59,Hombre,20-24,Otros,Independencia
148,2011,Junio,Jueves, 6:00-11:59,Hombre,20-24,Mar,San Pedro de Macorís
149,2011,Junio,Jueves,12:00-17:59,Hombre,25-29,Río,La Vega
150,2011,Junio,Viernes, 6:00-11:59,Hombre,0-4,Cisterna,Santo Domingo
151,2011,Junio,Viernes,12:00-17:59,Hombre,40-44,Río,María Trinidad Sánchez
152,2011,Junio,Viernes,12:00-17:59,Hombre,15-19,Río,San Pedro de Macorís
153,2011,Junio,Sábado,18:00-23:59,Hombre,15-19,Mar,Santo Domingo
154,2011,Junio,Sábado,18:00-23:59,Mujer,14-Oct,Cisterna,Samaná
155,2011,Junio,Domingo,12:00-17:59,Hombre,9-May,Piscina,Santo Domingo
156,2011,Junio,Domingo,12:00-17:59,Hombre,15-19,Mar,San Pedro de Macorís
157,2011,Junio,Domingo,18:00-23:59,Hombre,30-34,Río,San Pedro de Macorís
158,2011,Junio,Lunes,12:00-17:59,Hombre,55-59,Piscina,Distrito Nacional
159,2011,Junio,Miércoles,18:00-23:59,Hombre,9-May,Cisterna,Santo Domingo
160,2011,Junio,Jueves,18:00-23:59,Hombre,30-34,Canal,San Juan
161,2011,Julio,Viernes,12:00-17:59,Hombre,0-4,Pozo,El Seybo
162,2011,Julio,Domingo, 6:00-11:59,Hombre,25-29,Río,La Vega
163,2011,Julio,Martes,12:00-17:59,Hombre,N/D,Río,Dajabón
164,2011,Julio,Martes,18:00-23:59,Hombre,20-24,Pozo,Barahona
165,2011,Julio,Miércoles, 6:00-11:59,Hombre,35-39,Río,San Cristóbal
166,2011,Julio,Miércoles,12:00-17:59,Hombre,30-34,Mar,San Cristóbal
167,2011,Julio,Miércoles,12:00-17:59,Mujer,14-Oct,Piscina,Puerto Plata
168,2011,Julio,Jueves, 6:00-11:59,Hombre,30-34,Río,Distrito Nacional
169,2011,Julio,Jueves,12:00-17:59,Hombre,15-19,Mar,San Pedro de Macorís
170,2011,Julio,Jueves,18:00-23:59,Hombre,0-4,Cisterna,San Cristóbal
171,2011,Julio,Viernes,18:00-23:59,Mujer,40-44,Río,Monte Plata
172,2011,Julio,Sábado, 6:00-11:59,Hombre,70-74,Río,Santo Domingo
173,2011,Julio,Sábado,12:00-17:59,Mujer,9-May,Piscina,Puerto Plata
174,2011,Julio,Domingo, 6:00-11:59,Hombre,30-34,Pozo,Dajabón
